district_name,district_geoid,median_household_income,median_family_income,labor_force_pct,unemployment_pct,uninsured_pct,snap_pct,owner_occ_pct,renter_occ_pct,median_home_value
"Ohio County School District, KY",2104500,52474,58676,NA,4.5,5.6,8.7,77.8,22.2,114900
"Oldham County School District, KY",2104530,117334,131807,NA,3.9,3.1,3.6,86.9,13.1,357500
"Owen County School District, KY",2104560,56485,74609,NA,4.6,8.3,11.3,85.5,14.5,151300
"Owensboro Independent School District, KY",2104590,46540,62097,NA,4.6,5.5,19.8,58.8,41.2,132000
"Owsley County School District, KY",2104620,32844,48125,NA,14.2,4.5,29.9,63.3,36.7,78500
"Paducah Independent School District, KY",2104650,39765,58194,NA,4.8,8.6,14.5,54,46,122900
"Paintsville Independent School District, KY",2104680,30739,NA,NA,9.9,8.1,28.5,43.5,56.5,104400
"Paris Independent School District, KY",2104710,37475,55909,NA,8.5,4.5,21.5,53.4,46.6,136300
"Pendleton County School District, KY",2104740,58723,75687,NA,5,6.1,13.3,73.6,26.4,152000
"Perry County School District, KY",2104770,43527,53423,NA,6.7,3.5,23.7,79.4,20.6,85200
"Pike County School District, KY",2104800,41499,54423,NA,8,5.7,18.9,79.2,20.8,92900
"Pikeville Independent School District, KY",2104830,36382,72860,NA,3,3.2,24,38.7,61.3,287100
"Pineville Independent School District, KY",2104860,30517,60000,NA,11.8,5.2,34.9,40.6,59.4,132500
"Powell County School District, KY",2104890,38415,67610,NA,7.1,5.4,20.4,68.1,31.9,123400
"Pulaski County School District, KY",2104950,49402,62053,NA,4.7,6.8,13.7,75.6,24.4,141600
"Pulaski County School District for Science Hill ISD, KY",2121002,56799,62450,NA,2.9,3,16.9,81.4,18.6,141500
"Raceland-Worthington Independent School District, KY",2104980,60163,61591,NA,3.7,6.8,15.3,70.1,29.9,116800
Remainder (Secondary),2199999,60196,76277,NA,5.1,5.9,12.6,68.1,31.9,177000
Remainder (Elementary),2199999,60196,76277,NA,5.1,5.9,12.6,68.1,31.9,177000
Remainder (Unified),2199999,54431,72639,NA,4.8,4.8,14.7,72.7,27.3,184100
"Robertson County School District, KY",2105040,53798,58889,NA,7,5.1,25.1,74.2,25.8,143500
"Rockcastle County School District, KY",2105070,45693,58289,NA,6.6,4.7,21.3,76,24,100300
"Rowan County School District, KY",2105100,50038,66125,NA,4.6,5.2,21,61.4,38.6,149900
"Russell County School District, KY",2105160,48220,64233,NA,6.1,6.2,17.7,74.4,25.6,121400
"Russell Independent School District, KY",2105130,66921,79774,NA,5,6.2,8.7,78.8,21.2,149400
"Russellville Independent School District, KY",2105190,39795,55117,NA,11.2,2.6,24.3,45.4,54.6,99400
"Science Hill Independent School District, KY",2105220,56799,62450,NA,2.9,3,16.9,81.4,18.6,141500
"Scott County School District, KY",2105260,80782,94286,NA,3.7,4.5,6.6,73.4,26.6,240800
"Shelby County School District, KY",2105320,81012,94658,NA,3.3,6.9,8.3,72.9,27.1,247500
"Simpson County School District, KY",2105400,55907,68252,NA,3.5,9.2,12.7,65.7,34.3,178600
"Somerset Independent School District, KY",2105430,33930,56116,NA,6.9,7.5,22.6,48.2,51.8,131400
"Southgate Independent School District, KY",2105460,44143,56917,NA,5.5,8.9,15.8,49.7,50.3,189300
"Spencer County School District, KY",2105490,101118,109672,NA,6.2,4.7,6.6,86.2,13.8,288200
"Taylor County School District, KY",2105520,66441,82381,NA,2.3,3.4,9.8,78.6,21.4,159200
"Todd County School District, KY",2105550,57891,68983,NA,4.3,21.8,13.7,74.8,25.2,126600
"Trigg County School District, KY",2105580,55864,67580,NA,4,11,11,78.6,21.4,173900
"Trimble County School District, KY",2105610,66492,74564,NA,8.4,4.1,9.4,81.3,18.7,152600
"Union County School District, KY",2105640,58260,66250,NA,3.7,5.6,11.7,73.1,26.9,109100
"Walton-Verona Independent School District, KY",2105700,84821,99696,NA,2.2,6.4,7.9,76.7,23.3,231900
"Warren County School District, KY",2105730,68568,84784,NA,4.5,6.8,10.6,61.7,38.3,231700
"Washington County School District, KY",2105760,65456,86053,NA,2.3,9.8,11.3,79.4,20.6,158700
"Wayne County School District, KY",2105790,41583,55951,NA,5.2,6.8,16.6,73.7,26.3,112800
"Webster County School District, KY",2105820,55451,63719,NA,5.9,6.1,14,71.7,28.3,86700
"West Point Independent School District, KY",2105850,34931,53597,NA,4.1,4.4,24.2,68.8,31.2,78000
"Whitley County School District, KY",2105880,40597,47420,NA,5,9.3,21.5,72.9,27.1,100000
"Williamsburg Independent School District, KY",2105910,36518,51789,NA,13.3,5.9,22.5,44,56,99800
"Williamstown Independent School District, KY",2105940,60504,87339,NA,1.3,3.3,13.6,65.5,34.5,143600
"Wolfe County School District, KY",2105970,28666,34705,NA,20.3,1,33.8,68.2,31.8,62200
"Woodford County School District, KY",2106000,78295,98506,NA,2.5,2.7,6.6,71.8,28.2,259100
"Acadia Parish School District, LA",2200030,44977,61506,NA,8.8,6.4,22.3,68.4,31.6,145100
"Allen Parish School District, LA",2200060,52755,61779,NA,8.9,7.6,20.3,76,24,113400
"Ascension Parish School District, LA",2200090,93800,107966,NA,4.5,6.4,10.3,83.3,16.7,255600
"Assumption Parish School District, LA",2200120,47023,69477,NA,8,8.7,18.8,82.9,17.1,130600
"Avoyelles Parish School District, LA",2200150,38696,48982,NA,7.5,7.9,25.8,70.2,29.8,123600
"Baker City School District, LA",2200040,60199,61948,NA,12.6,11.1,18.2,71.9,28.1,137800
"Beauregard Parish School District, LA",2200180,68525,82550,NA,8.1,7.9,14.9,82.3,17.7,150200
"Bienville Parish School District, LA",2200210,34268,50606,NA,5.6,9,25,73.7,26.3,85800
"Bogalusa City School District, LA",2200240,41575,48425,NA,11.5,11,34.6,56.2,43.8,115200
"Bossier Parish School District, LA",2200270,64598,81271,NA,5.6,9.4,10.2,65.4,34.6,206600
"Caddo Parish School District, LA",2200300,47572,64417,NA,8.6,7.5,19.4,60.5,39.5,166700
"Calcasieu Parish School District, LA",2200330,64370,79749,NA,5.6,7.7,14.1,70.8,29.2,196900
"Caldwell Parish School District, LA",2200360,45707,67383,NA,12.9,6.8,24.1,69.6,30.4,103500
"Cameron Parish School District, LA",2200390,69847,76429,NA,2.1,8.2,6,89.5,10.5,177600
"Catahoula Parish School District, LA",2200420,48259,63792,NA,6.5,8.3,18.5,77.7,22.3,91300
"Central Community School District, LA",2206840,87188,104032,NA,2.7,6.7,5.8,88.5,11.5,252800
"Claiborne Parish School District, LA",2200450,32034,39791,NA,5.2,7,30.4,72.1,27.9,79100
"Concordia Parish School District, LA",2200480,38929,53260,NA,12,10,24.2,72.8,27.2,94600
"De Soto Parish School District, LA",2200510,49807,59472,NA,6.9,7.1,22.1,74.9,25.1,144100
"East Baton Rouge Parish School District, LA",2200540,58696,80912,NA,7.3,8.7,15.4,56,44,232600
"East Carroll Parish School District, LA",2200570,30856,36875,NA,15.1,4.4,32.9,61.4,38.6,72600
"East Feliciana Parish School District, LA",2200600,64709,85571,NA,5.5,8,14.8,82.4,17.6,204800
"Evangeline Parish School District, LA",2200630,34526,46912,NA,14,9.1,26.4,64.6,35.4,101000
"Franklin Parish School District, LA",2200660,41129,50753,NA,9.2,7,21.9,74.8,25.2,99200
"Grant Parish School District, LA",2200690,57362,65681,NA,4,9.7,17.6,81.8,18.2,128100
"Iberia Parish School District, LA",2200720,55190,63180,NA,6.3,8,22.5,68.5,31.5,152400
"Iberville Parish School District, LA",2200750,59410,69352,NA,7.5,8.3,18.9,74.5,25.5,161400
"Jackson Parish School District, LA",2200780,40406,52285,NA,4.9,7.4,19.2,68.5,31.5,105700
"Jefferson Davis Parish School District, LA",2200810,52470,71556,NA,4,6.7,14.7,77.6,22.4,149800
"Jefferson Parish School District, LA",2200840,63257,79749,NA,6,10.5,13.7,62.7,37.3,231700
"La Salle Parish School District, LA",2200960,59926,74525,NA,4.6,4.7,13.8,83.1,16.9,120500
