district_key,total_rev_2122,total_exp_2122,cap_outlay_2122,debt_out_end_2122,debt_out_start_2122,debt_issued_2122,debt_retired_2122,debt_service_funds_2122,bond_funds_2122,other_funds_2122,GeoId,debt_district_only,debt_expanded
ACHIEVEMENT HOUSE CS | PENNSYLVANIA,21297000,15149000,915000,0,0,0,0,0,0,20631000,4200128,0,20631000
ACHIEVEMENT PREPARATORY ACADEMY PCS | DISTRICT OF COLUMBIA,10222000,41611000,33047000,31580000,31544000,35000,0,163000,0,7973000,1100072,31580000,39716000
ACHIEVEMENT SCHOOL DISTRICT | TENNESSEE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4700147,NA,0
ACHIEVEMENT SCHOOL DISTRICT | NEVADA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4700147,NA,0
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI | OHIO,1906000,1878000,0,0,0,0,0,0,0,59000,3901602,0,59000
ACHIEVEPOINT CAREER ACADEMY - COLUMBUS | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901602,NA,0
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL | NEW JERSEY,7085000,7870000,0,0,0,0,0,0,0,682000,3400794,0,682000
ACHILLE | OKLAHOMA,4986000,4816000,494000,0,0,240000,240000,0,0,0,4002370,0,0
ACKERMAN CHARTER | CALIFORNIA,7399000,7036000,114000,0,0,0,0,0,0,7736000,0601680,0,7736000
ACKERMAN PUBLIC SCHOOL | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3171370,NA,0
ACORN MONTESSORI CHARTER SCHOOL (79437) | ARIZONA,5955000,5688000,61000,0,0,0,0,0,0,0,0400320,0,0
ACORN SCHOOL DISTRICT | ARKANSAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0502730,NA,0
ACTON | MASSACHUSETTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2502250,NA,0
ACTON PUBLIC SCHOOLS | MAINE,5796000,5931000,28000,118000,118000,0,0,0,0,202000,2302220,118000,320000
ACTON-AGUA DULCE UNIFIED | CALIFORNIA,25360000,18306000,682000,17222000,18185000,0,963000,1007000,0,16066000,0600001,17222000,34295000
ACTON-BOXBOROUGH | MASSACHUSETTS,140935000,184485000,63248000,0,0,0,11660000,0,0,0,2501710,0,0
ACUSHNET | MASSACHUSETTS,10912000,20852000,1519000,377000,472000,0,95000,0,0,0,2501740,377000,377000
AD PRIMA CS | PENNSYLVANIA,11852000,14778000,341000,29000,0,46000,17000,0,17000,4586000,4200129,29000,4632000
ADA | OKLAHOMA,31760000,30130000,2885000,6530000,0,6530000,0,2658000,5484000,8458000,4002430,6530000,23130000
ADA EXEMPTED VILLAGE | OHIO,13699000,12489000,536000,490000,1260000,0,770000,492000,432000,8221000,3904518,490000,9635000
ADA-BORUP PUBLIC SCHOOL DISTRICT | MINNESOTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2741850,NA,0
ADA-BORUP-WEST PUBLIC SCHOOLS | MINNESOTA,12298000,12720000,2017000,13560000,14234000,0,674000,232000,0,5175000,2700480,13560000,18967000
ADAIR | OKLAHOMA,12603000,11900000,1407000,2210000,0,2900000,690000,64000,2304000,3013000,4002460,2210000,7591000
ADAIR CO. R-I | MISSOURI,3882000,3071000,50000,1125000,1170000,0,45000,151000,0,1952000,2922980,1125000,3228000
ADAIR CO. R-II | MISSOURI,3840000,3473000,630000,650000,750000,0,100000,267000,0,1342000,2905790,650000,2259000
ADAIR COUNTY | KENTUCKY,36077000,33553000,1822000,16725000,19238000,0,2513000,0,244000,4783000,2100030,16725000,21752000
ADAIR-CASEY COMM SCHOOL DISTRICT | IOWA,5879000,5235000,787000,115000,227000,0,112000,0,0,5533000,1903090,115000,5648000
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700162,NA,0
ADAMS 1 MAPLETON AU | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800258,NA,0
ADAMS 12 FIVE STAR SCHOOLS | COLORADO,594152000,538134000,31419000,459070000,482680000,14775000,38385000,122454000,39854000,198246000,0806900,459070000,819624000
ADAMS 12 NORTHGLENN AU | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800268,NA,0
ADAMS 128 | NORTH DAKOTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3812920,NA,0
ADAMS 14 COMMERCE CITY AU | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800272,NA,0
ADAMS 27J SCHOOL DISTRICT 27J AU | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800237,NA,0
ADAMS CENTRAL COMMUNITY SCHOOLS | INDIANA,20983000,20333000,4607000,19993000,21174000,0,1181000,186000,0,8143000,1800060,19993000,28322000
ADAMS CENTRAL PUBLIC SCHOOLS | NEBRASKA,18125000,16643000,1277000,14289000,15384000,0,1095000,782000,1855000,7221000,3102770,14289000,24147000
ADAMS COUNTY BOCES | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800009,NA,0
ADAMS COUNTY BOCES | COLORADO,878000,788000,0,0,0,0,0,0,0,287000,0800009,0,287000
ADAMS COUNTY OHIO VALLEY LOCAL | OHIO,56817000,54464000,1029000,13031000,15855000,0,2824000,4777000,2626000,21781000,3906190,13031000,42215000
ADAMS COUNTY TECHNICAL INSTITUTE | PENNSYLVANIA,1296000,1232000,45000,0,0,0,0,0,150000,615000,4200905,0,765000
ADAMS PUBLIC SCHOOLS | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3178450,NA,0
ADAMS TOWNSHIP SCHOOL DISTRICT | MICHIGAN,6228000,5858000,139000,7714000,8184000,0,468000,11000,22000,729000,2601890,7714000,8476000
ADAMS-ARAP 28J AURORA AU | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800255,NA,0
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT | WISCONSIN,24929000,24284000,1585000,368000,454000,0,86000,60000,0,6548000,5500060,368000,6976000
ADDISON CENTRAL SCHOOL DISTRICT | NEW YORK,39473000,31134000,1055000,8925000,11005000,0,2080000,3359000,499000,10090000,3602370,8925000,22873000
ADDISON CENTRAL SUPERVISORY DISTRICT | VERMONT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5099903,NA,0
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55 | VERMONT,45549000,43753000,112000,1020000,1160000,0,140000,0,0,0,5000402,1020000,1020000
ADDISON COMMUNITY SCHOOLS | MICHIGAN,11930000,10634000,126000,8780000,10630000,0,1037000,575000,0,1664000,2601920,8780000,11019000
ADDISON NORTHWEST SUPERVISORY DISTRICT | VERMONT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5099902,NA,0
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54 | VERMONT,26361000,25389000,518000,10081000,10350000,380000,649000,0,0,0,5000398,10081000,10081000
ADDISON SCHOOL DISTRICT | VERMONT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000017,NA,0
ADDISON SD 4 | ILLINOIS,73092000,71524000,5076000,0,0,0,0,0,13519000,34456000,1703150,0,47975000
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT | IOWA,32504000,30941000,5210000,29680000,31620000,9100000,11040000,164000,0,17062000,1903150,29680000,46906000
ADEL SD 21 | OREGON,509000,517000,78000,0,0,0,0,0,58000,561000,4100990,0,619000
ADELANTE CHARTER DISTRICT | CALIFORNIA,4178000,4167000,9000,0,0,0,0,0,0,0,0602343,0,0
ADELANTE SCHOOLS | INDIANA,6489000,5392000,0,0,0,0,0,0,0,1129000,1800216,0,1129000
ADELANTO ELEMENTARY | CALIFORNIA,152697000,134943000,745000,7418000,9031000,0,1613000,6141000,0,70847000,0601710,7418000,84406000
ADELINE MONTESSORI SCHOOL INC | WISCONSIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500089,NA,0
ADENA LOCAL | OHIO,15474000,16318000,1408000,0,329000,0,329000,2000,18000,8397000,3904949,0,8417000
ADIRONDACK CENTRAL SCHOOL DISTRICT | NEW YORK,34635000,33379000,3355000,9045000,16190000,630000,1415000,132000,3375000,6677000,3605040,9045000,19229000
ADLAI E STEVENSON HSD 125 | ILLINOIS,150825000,171391000,32138000,47868000,37317000,47840000,4024000,3071000,0,99917000,1732580,47868000,150856000
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL | PENNSYLVANIA,5475000,5265000,491000,755000,843000,0,88000,0,154000,1626000,4280120,755000,2535000
ADNA SCHOOL DISTRICT | WASHINGTON,10505000,11022000,267000,5680000,5985000,0,305000,563000,1527000,2720000,5300060,5680000,10490000
ADRIAN ISD | TEXAS,3124000,2708000,0,3375000,3950000,0,575000,321000,0,1251000,4807500,3375000,4947000
